"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"VNET","21Vianet Group, Inc.","20.14","955838337.86","47459699","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"TWOU","2U, Inc.","28.77","1185809263.59","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/twou",
"DDD","3D Systems Corporation","30.15","3370682353.95","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ddd",
"JOBS","51job, Inc.","36.19","834740408.81","23065499","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs",
"WUBA","58.com Inc.","78.26","6871476162.46","n/a","2013","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/wuba",
"ATEN","A10 Networks, Inc.","4.7","289258266.4","n/a","2014","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/aten",
"AAN","Aaron&#39;s,  Inc.","29.37","2130210564.24","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aan",
"ACIW","ACI Worldwide, Inc.","22.13","2564415769.3","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/aciw",
"ACTS","Actions Semiconductor Co., Ltd.","1.57","53398029.88","34011484","2005","Technology","Semiconductors","http://www.nasdaq.com/symbol/acts",
"ATVI","Activision Blizzard, Inc","23.745","17165696268.24","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/atvi",
"ACTA","Actua Corporation","14.75","596552068","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acta",
"ATU","Actuant Corporation","24.27","1445501419.95","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/atu",
"ACXM","Acxiom Corporation","18.41","1422651859.58","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acxm",
"ADEP","Adept Technology, Inc.","6.36","83339729.16","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/adep",
"ADBE","Adobe Systems Incorporated","76.52","38280591532","n/a","1986","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/adbe",
"AMD","Advanced Micro Devices, Inc.","2.33","1812122568.64","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/amd",
"API","Advanced Photonix, Inc.","0.4","14952565.2","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/api",
"ASX","Advanced Semiconductor Engineering, Inc.","7.3","11484663307.7","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/asx",
"ATE","Advantest Corporation (Kabushiki Kaisha Advantest) ADS","12.89","2246414133.92","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/ate",
"ADVS","Advent Software, Inc.","43.88","2297133928.44","n/a","1995","Technology","EDP Services","http://www.nasdaq.com/symbol/advs",
"AER","Aercap Holdings N.V.","46.61","9896155543.51","n/a","2006","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aer",
"ACY","AeroCentury Corp.","12.1","18673409.7","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/acy",
"HIVE","Aerohive Networks, Inc.","5.21","242888746.41","n/a","2014","Technology","EDP Services","http://www.nasdaq.com/symbol/hive",
"WGA","AG&E Holdings, Inc.","0.8895","10389360","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/wga",
"AGYS","Agilysys, Inc.","10.02","228681991.08","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/agys",
"AL","Air Lease Corporation","39.07","4006961728.03","n/a","2011","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/al",
"AYR","Aircastle Limited","24.08","1954841682.64","n/a","2006","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/ayr",
"AMCN","AirMedia Group Inc","5","215996720","43199344","2007","Technology","Advertising","http://www.nasdaq.com/symbol/amcn",
"AIXG","Aixtron SE","6.96","32972464.08","4737423","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aixg",
"AFOP","Alliance Fiber Optic Products, Inc.","19.76","350146370.08","n/a","2000","Technology","Semiconductors","http://www.nasdaq.com/symbol/afop",
"ALLT","Allot Communications Ltd.","8.93","297920239.97","n/a","2006","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/allt",
"MDRX","Allscripts Healthcare Solutions, Inc.","12.74","2303535847.34","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/mdrx",
"AOSL","Alpha and Omega Semiconductor Limited","8.61","229515616.26","n/a","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/aosl",
"ALTR","Altera Corporation","42.09","12668459954.79","n/a","1988","Technology","Semiconductors","http://www.nasdaq.com/symbol/altr",
"AMBA","Ambarella, Inc.","73.45","2301071714.5","n/a","2012","Technology","Semiconductors","http://www.nasdaq.com/symbol/amba",
"AMBR","Amber Road, Inc.","9.1","236858121.5","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ambr",
"DOX","Amdocs Limited","54.985","8542469600","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/dox",
"AMSWA","American Software, Inc.","10.18","287520031.24","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/amswa",
"AMKR","Amkor Technology, Inc.","8.53","2024731237.89","n/a","1998","Technology","Semiconductors","http://www.nasdaq.com/symbol/amkr",
